source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Connect Express (Node.js),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Connect JavaScript API,4,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Connect Spring Boot,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Connect in Jira Cloud,30,6,0.200000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Gadgets,3,2,0.666667
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Guard,47,2,0.042553
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Intelligence,17,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Internationalization,44,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Marketplace,4,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Maven Plugin Suite,18,2,0.111111
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Plugin SDK,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Plugins,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Plugins Webresources,47,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Product Integrations,16,1,0.062500
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian REST,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Troubleshooting & Support Tools Plugin,9,4,0.444444
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian User Interface,45,3,0.066667
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Automation Analytics,5,5,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Automation Hub,19,19,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Automation for Cloud,28,3,0.107143
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Automation for Jira Server,51,3,0.058824
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Avalon,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Axiom,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Axis2,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bahir,3,3,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bahir (Retired),2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bamboo,12,12,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bamboo Artifactory Plug,4,4,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bamboo Data Center,74,4,0.054054
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,BatchEE,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Batik,4,3,0.750000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Beam,542,157,0.289668
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bedrock Dedicated Server,35,35,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bigtop,10,8,0.800000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bitbucket Cloud,271,11,0.040590
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bitbucket Data Center,92,6,0.065217
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Bitbucket Server,8,8,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Blockchain Explorer,4,4,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,BxMS Documentation,17,3,0.176471
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Byteman,4,4,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,C Driver,106,12,0.113208
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,C# Driver,296,26,0.087838
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,C++ Driver,61,3,0.049180
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CXF,111,70,0.630631
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CaRT,6,6,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Calcite,66,37,0.560606
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Camel,156,77,0.493590
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CarbonData,13,13,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cassandra,49,49,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Causeway,43,1,0.023256
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cayenne,4,1,0.250000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CentOS Stream Pipeline,304,8,0.026316
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Clair,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Clerezza (Retired),3,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Client,34,3,0.088235
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cloud Enablement,29,2,0.068966
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cloud Infrastructure Security & Compliance,62,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cloud Native Runtimes (CNR) Documentation,21,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CloudStack,4,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cockpit,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Coin,25,3,0.120000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Comdev GSOC,12,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commerce,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons BeanUtils,4,1,0.250000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons CSV,6,1,0.166667
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Collections,10,1,0.100000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Compress,8,6,0.750000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Configuration,8,2,0.250000
